id,module,difficulty,max_time_s
1,phonemic_awareness,-2.0,5.0
2,phonemic_awareness,-1.0,5.0
3,phonemic_awareness,0.0,5.0
4,phonemic_awareness,1.0,5.0
5,phonemic_awareness,2.0,5.0
6,phonemic_awareness,-1.5,5.0
7,phonemic_awareness,-0.5,5.0
8,phonemic_awareness,0.5,5.0
9,phonemic_awareness,1.5,5.0
10,ran,-2.0,5.0
11,ran,-1.0,5.0
12,ran,0.0,5.0
13,ran,1.0,5.0
14,ran,2.0,5.0
15,ran,-1.5,5.0
16,ran,-0.5,5.0
17,ran,0.5,5.0
18,ran,1.5,5.0
19,object_recognition,-2.0,5.0
20,object_recognition,-1.0,5.0
21,object_recognition,0.0,5.0
22,object_recognition,1.0,5.0
23,object_recognition,2.0,5.0
24,object_recognition,-1.5,5.0
25,object_recognition,-0.5,5.0
26,object_recognition,0.5,5.0
27,object_recognition,1.5,5.0
